fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
4,baseline_k1,3,394e61f27c2a1700,435,434,1.34846,3.27593,1.34854,3.28048,nan,1.34846,3.27593,1.34854,3.28048
4,baseline_k1,3,4b60f9400a30ceaf,194,193,3.97869,9.83931,3.99241,9.88367,nan,3.97869,9.83931,3.99241,9.88367
4,baseline_k6,4,394e61f27c2a1700,435,434,1.86490,2.28361,1.86463,2.28244,nan,1.86490,2.28361,1.86463,2.28244
4,baseline_k6,4,4b60f9400a30ceaf,194,193,3.78493,9.01165,3.79409,9.04364,nan,2.00370,4.26517,2.00363,4.27257
4,baseline_k1,4,394e61f27c2a1700,435,434,1.70306,3.44889,1.70508,3.45568,nan,1.70306,3.44889,1.70508,3.45568
4,baseline_k1,4,4b60f9400a30ceaf,194,193,3.58371,9.34112,3.59781,9.38659,nan,3.58371,9.34112,3.59781,9.38659
4,baseline_k6,5,394e61f27c2a1700,435,434,2.32544,5.78974,2.32568,5.79825,nan,1.05460,0.90823,1.05522,0.90850
4,baseline_k6,5,4b60f9400a30ceaf,194,193,5.00980,11.36666,5.02405,11.41443,nan,3.23734,7.71884,3.24997,7.75491
4,baseline_k1,5,394e61f27c2a1700,435,434,0.78786,1.97396,0.78475,1.97212,nan,0.78786,1.97396,0.78475,1.97212
4,baseline_k1,5,4b60f9400a30ceaf,194,193,4.66382,11.22122,4.67675,11.26470,nan,4.66382,11.22122,4.67675,11.26470
4,baseline_k6,6,394e61f27c2a1700,435,434,1.90504,2.20181,1.90455,2.20124,nan,1.86318,2.12265,1.86392,2.12189
4,baseline_k6,6,4b60f9400a30ceaf,194,193,4.80079,11.24678,4.81469,11.29230,nan,2.88889,6.09934,2.89571,6.11819
4,baseline_k1,6,394e61f27c2a1700,435,434,0.74097,1.54392,0.73994,1.54543,nan,0.74097,1.54392,0.73994,1.54543
4,baseline_k1,6,4b60f9400a30ceaf,194,193,3.93980,9.75143,3.95404,9.79734,nan,3.93980,9.75143,3.95404,9.79734
4,baseline_k6,7,394e61f27c2a1700,435,434,2.51432,4.49200,2.51636,4.49761,nan,0.96330,2.14966,0.96177,2.14988
4,baseline_k6,7,4b60f9400a30ceaf,194,193,3.22551,8.26005,3.23407,8.29264,nan,2.78929,6.72553,2.79559,6.75017
4,baseline_k1,7,394e61f27c2a1700,435,434,1.46201,2.55874,1.46174,2.56078,nan,1.46201,2.55874,1.46174,2.56078
4,baseline_k1,7,4b60f9400a30ceaf,194,193,4.31766,10.31802,4.33161,10.36237,nan,4.31766,10.31802,4.33161,10.36237
