epoca,train_vistas,train_vistas_sd,train_nuevas,train_nuevas_sd,val,val_sd
390,0.07389024301664904,0.0225594932217364,0.10501516148603211,0.030612816474233025,0.195228595685746,0.07544554911374153
400,0.07478900859132409,0.028680540555284167,0.10318179684691131,0.03013074952785731,0.21261882635631732,0.08937339438606677
410,0.07810925896046683,0.03224526872347876,0.10954209529639532,0.02848831222820343,0.21751537905739887,0.08426547278371259
420,0.07245592260733247,0.026749964199672946,0.1001951863290742,0.02338447083789706,0.20002614241093397,0.08057827566296685
430,0.07138146526267519,0.028618660023619027,0.1020543163176626,0.023409506709938667,0.2088475220703653,0.08217468374644454
440,0.07411906943161739,0.028698396762761882,0.10288220960258816,0.029123670821847195,0.20436569609280145,0.08261948594169391
450,0.08889906760305166,0.018645604356974932,0.11889396685486038,0.0353559201934622,0.1499771482444235,0.033666654708331335
460,0.07696375611703843,0.023244141124322402,0.10102703290370603,0.02467743030596826,0.1493806489078062,0.03745953819701831
470,0.07035414910205873,0.028842103938529734,0.10325090437739466,0.03151056956444732,0.17357613838144711,0.05588847996351936
480,0.06987365913664689,0.029282421012316463,0.10266265653384228,0.03205895149535449,0.18123851237552507,0.0591732221013963
490,0.07171021521207877,0.029207017645651756,0.10494687020157774,0.027579379829502912,0.1607519163350974,0.045211994601350385
500,0.07338074942526873,0.02934131991074188,0.10985305451322347,0.03144022609914474,0.1571107618510723,0.03960117219416843
510,0.07335820597654674,0.02907898898810546,0.11126005500166987,0.033649425372000864,0.1689902888610959,0.039578521716441425
520,0.06867948999570217,0.02824699233255873,0.11082605811922501,0.034649536834994825,0.17623938260866062,0.05616942330682736
530,0.07432882016291842,0.026412656306641774,0.10828379502830406,0.03312700511987202,0.1496185169422201,0.03497898532018145
540,0.06581109155376907,0.02979568762380852,0.10550781508209184,0.03411582762018853,0.16597065342856304,0.048540954397742316
550,0.06907102568948176,0.030872535429627524,0.10531339515000582,0.03254148452368307,0.16109869283224856,0.038205676586282426
560,0.0683308943771408,0.03186368973652701,0.10979467595461756,0.034972702614789644,0.1708107271364757,0.043030637175732064
570,0.06154683683416806,0.030545054972526017,0.10601447097724304,0.03596873699345648,0.1658803215250373,0.04405503931900589
580,0.06203058271057671,0.030044404584439372,0.10413482703734189,0.035270092576502106,0.16929294874093362,0.05013661851493603
590,0.06517701418488286,0.028894201215846935,0.10460228209073345,0.030962054863574572,0.16591898099120175,0.04804549775639038
600,0.06293753344652941,0.03042004980200761,0.10395796600884448,0.03241484321762656,0.17257400775062187,0.05411401999860311
610,0.07075217576493742,0.031238906718227637,0.10483534364417817,0.03377939244693987,0.19234725779720716,0.04936239899373745
