fold,seed,arch,ade8,ade5,fde,acc,train_ade8,best_ep,held_out_scenes
1,2,wayformer_pooled,4.523309993743896,2.3759511947631835,9.849843502044678,1.0,8.222784996032715,20,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
2,0,wayformer_pooled,4.692287409305573,2.2112697839736937,8.831516146659851,1.0,8.207550048828125,40,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
2,1,wayformer_pooled,4.8422627449035645,2.3858871698379516,8.54483895301819,1.0,9.064656257629395,1,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
2,2,wayformer_pooled,4.885132884979248,2.365033984184265,8.670918416976928,1.0,9.169610023498535,1,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
3,0,wayformer_pooled,6.956512355804444,3.555798590183258,15.901851558685303,1.0,8.129799842834473,20,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,1,wayformer_pooled,7.089513945579529,3.827275276184082,16.001059770584106,0.9939999938011169,8.25458812713623,1,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,2,wayformer_pooled,7.1163688659667965,3.859315013885498,15.923424196243285,1.0,8.421573638916016,1,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
4,0,wayformer_pooled,6.334344673156738,3.796727180480957,12.06581244468689,0.9919999957084655,16.11709213256836,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,1,wayformer_pooled,6.24327974319458,3.681565284729004,12.03515591621399,1.0,16.273706436157227,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,2,wayformer_pooled,6.172952365875244,3.6362586975097657,11.729716968536376,1.0,16.343713760375977,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
0,0,wayformer_ft1,2.790491056442261,1.59191232919693,5.1711530685424805,1.0,8.326696395874023,20,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,1,wayformer_ft1,3.1554174423217773,1.8513031244277953,5.298596048355103,1.0,9.067659378051758,1,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,2,wayformer_ft1,2.5782238483428954,1.314309573173523,5.309278845787048,1.0,8.148392677307129,20,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
