fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
4,baseline,4,4b60f9400a30ceaf,194,193,3.58371,9.34112,3.59781,9.38659,nan
4,gate0,4,394e61f27c2a1700,435,434,1.01592,2.31596,1.01575,2.31949,0.00000
4,gate0,4,4b60f9400a30ceaf,194,193,3.58822,9.16265,3.60103,9.20578,0.00000
4,gated,4,394e61f27c2a1700,435,434,0.80464,1.77976,0.80458,1.78266,0.35552
4,gated,4,4b60f9400a30ceaf,194,193,4.01760,9.90907,4.03322,9.95693,0.35552
4,baseline,5,394e61f27c2a1700,435,434,0.78786,1.97396,0.78475,1.97212,nan
4,baseline,5,4b60f9400a30ceaf,194,193,4.66382,11.22122,4.67675,11.26470,nan
4,gate0,5,394e61f27c2a1700,435,434,0.92565,2.14870,0.92345,2.14807,0.00000
4,gate0,5,4b60f9400a30ceaf,194,193,4.06635,10.18593,4.07754,10.22585,0.00000
4,gated,5,394e61f27c2a1700,435,434,1.41622,1.09871,1.41506,1.09564,0.38174
4,gated,5,4b60f9400a30ceaf,194,193,4.83080,11.39298,4.84599,11.43976,0.38174
4,baseline,6,394e61f27c2a1700,435,434,0.74097,1.54392,0.73994,1.54543,nan
4,baseline,6,4b60f9400a30ceaf,194,193,3.93980,9.75143,3.95404,9.79734,nan
4,gate0,6,394e61f27c2a1700,435,434,0.92440,1.21679,0.92286,1.21575,0.00000
4,gate0,6,4b60f9400a30ceaf,194,193,4.04438,9.97428,4.05694,10.01699,0.00000
4,gated,6,394e61f27c2a1700,435,434,0.75052,1.54250,0.74965,1.54355,0.28743
4,gated,6,4b60f9400a30ceaf,194,193,4.36076,10.56834,4.37617,10.61597,0.28743
4,baseline,7,394e61f27c2a1700,435,434,1.46201,2.55874,1.46174,2.56078,nan
4,baseline,7,4b60f9400a30ceaf,194,193,4.31766,10.31802,4.33161,10.36237,nan
4,gate0,7,394e61f27c2a1700,435,434,2.56160,3.67735,2.56016,3.67566,0.00000
4,gate0,7,4b60f9400a30ceaf,194,193,5.23616,11.58007,5.24639,11.61655,0.00000
4,gated,7,394e61f27c2a1700,435,434,1.37950,1.78569,1.37927,1.78654,0.40433
4,gated,7,4b60f9400a30ceaf,194,193,4.48705,10.69239,4.50232,10.74000,0.40433
